User_ID,Experiment_ID,Variant,Experiment_Date,Device,Country,Sessions,Exposures,Conversion,Revenue
10001,EXP102,Control,2026-02-23,Mobile,UK,5.0,1,0,0.0
10002,EXP102,Treatment,2026-01-18,Mobile,India,4.0,1,0,0.0
10003,EXP101,Treatment,2026-01-17,Mobile,India,5.0,4,0,0.0
10004,EXP102,Treatment,2026-01-30,Mobile,India,2.0,2,0,0.0
10005,EXP101,Control,2026-02-08,Mobile,India,7.0,2,0,0.0
10006,EXP102,Control,2026-01-13,Unknown,UK,6.0,3,0,0.0
10007,EXP102,Control,2026-02-01,Mobile,USA,4.0,4,0,0.0
10008,EXP102,Treatment,2026-02-19,Mobile,India,3.0,4,0,0.0
10009,EXP101,Treatment,2026-01-29,Mobile,India,4.0,2,0,0.0
10010,EXP101,Treatment,2026-02-15,Desktop,Canada,7.0,2,1,531.07
10011,EXP101,Control,2026-01-30,Mobile,India,3.0,4,0,0.0
10012,EXP101,Treatment,2026-01-18,Desktop,India,7.0,1,0,0.0
10013,EXP101,Treatment,2026-01-13,Desktop,India,3.0,4,0,0.0
10014,EXP102,Control,2026-02-12,Mobile,UK,4.0,4,0,0.0
10015,EXP101,Control,2026-01-21,Desktop,USA,3.0,2,0,0.0
10016,EXP101,Control,2026-01-30,Tablet,India,3.0,2,0,0.0
10017,EXP101,Control,2026-01-21,Mobile,India,2.0,1,0,0.0
10018,EXP101,Treatment,2026-02-17,Mobile,USA,5.0,1,0,0.0
10019,EXP102,Control,2026-02-24,Desktop,USA,5.0,3,0,0.0
10020,EXP101,Control,2026-01-17,Desktop,India,6.0,4,0,0.0
10021,EXP102,Treatment,2026-02-09,Mobile,Unknown,6.0,2,0,0.0
10022,EXP102,Control,2026-01-19,Mobile,India,2.0,1,0,0.0
10023,EXP102,Control,2026-02-21,Mobile,India,6.0,3,0,0.0
10024,EXP101,Control,2026-01-15,Mobile,Canada,7.0,3,1,1236.58
10025,EXP102,Control,2026-01-09,Desktop,India,4.0,2,0,0.0
10026,EXP101,Treatment,2026-02-21,Mobile,USA,1.0,2,0,0.0
10027,EXP101,Control,2026-01-10,Mobile,India,7.0,3,0,0.0
10028,EXP101,Treatment,2026-02-13,Desktop,India,1.0,1,0,0.0
10029,EXP101,Treatment,2026-01-31,Mobile,Canada,1.0,3,0,0.0
10030,EXP101,Control,2026-02-22,Mobile,India,2.0,4,0,0.0
10031,EXP102,Treatment,2026-01-23,Desktop,UK,4.0,4,0,0.0
10032,EXP102,Control,2026-02-21,Desktop,India,2.0,2,0,0.0
10033,EXP101,Control,2026-01-30,Mobile,India,3.0,1,0,0.0
10034,EXP102,Treatment,2026-02-02,Mobile,India,1.0,1,0,0.0
10035,EXP101,Treatment,2026-02-26,Mobile,USA,4.0,4,0,0.0
10036,EXP102,Treatment,2026-02-21,Mobile,India,6.0,3,0,0.0
10037,EXP102,Control,2026-01-09,Mobile,UK,4.0,2,1,1976.29
10038,EXP102,Control,2026-02-23,Mobile,India,6.0,3,1,1637.97
10039,EXP102,Treatment,2026-02-16,Mobile,Canada,1.0,3,0,0.0
10040,EXP102,Control,2026-01-01,Mobile,India,1.0,3,0,0.0
10041,EXP101,Control,2026-02-13,Mobile,UK,1.0,1,0,0.0
10042,EXP101,Control,2026-02-04,Mobile,UK,2.0,4,0,0.0
10043,EXP102,Control,2026-01-11,Mobile,UK,7.0,1,0,0.0
10044,EXP101,Treatment,2026-02-03,Mobile,UK,6.0,4,0,0.0
10045,EXP102,Control,2026-01-16,Mobile,UK,7.0,2,0,0.0
10046,EXP101,Treatment,2026-01-09,Desktop,USA,2.0,2,0,0.0
10047,EXP102,Control,2026-02-01,Mobile,India,2.0,3,0,0.0
10048,EXP102,Treatment,2026-01-15,Desktop,India,5.0,4,0,0.0
10049,EXP102,Treatment,2026-01-12,Desktop,Canada,4.0,4,1,1900.64
10050,EXP101,Control,2026-02-02,Mobile,USA,4.0,4,0,0.0
10051,EXP101,Treatment,2026-02-14,Mobile,UK,3.0,3,0,0.0
10052,EXP102,Treatment,2026-01-14,Mobile,India,2.0,3,1,1345.49
10053,EXP102,Treatment,2026-02-26,Mobile,India,6.0,2,0,0.0
10054,EXP101,Treatment,2026-02-26,Desktop,India,5.0,1,0,0.0
10055,EXP101,Treatment,2026-01-08,Mobile,USA,5.0,4,0,0.0
10056,EXP101,Treatment,2026-01-08,Mobile,India,7.0,4,0,0.0
10057,EXP101,Control,2026-01-27,Mobile,India,4.0,1,0,0.0
10058,EXP101,Control,2026-01-12,Mobile,India,2.0,4,0,0.0
10059,EXP102,Control,2026-01-01,Desktop,India,3.0,3,1,2079.68
10060,EXP101,Control,2026-02-12,Mobile,USA,2.0,3,0,0.0
10061,EXP102,Control,2026-02-09,Mobile,India,7.0,4,0,0.0
10062,EXP102,Control,2026-02-11,Tablet,UK,1.0,3,0,0.0
10063,EXP101,Treatment,2026-02-20,Desktop,India,2.0,3,0,0.0
10064,EXP101,Control,2026-01-11,Mobile,India,7.0,4,0,0.0
10065,EXP102,Control,2026-02-08,Mobile,India,1.0,2,0,0.0
10066,EXP101,Treatment,2026-02-12,Mobile,India,1.0,1,0,0.0
10067,EXP102,Control,2026-01-31,Mobile,India,3.0,3,0,0.0
10068,EXP101,Treatment,2026-01-17,Mobile,India,6.0,2,1,1704.19
10069,EXP101,Control,2026-02-02,Mobile,USA,4.0,3,0,0.0
10070,EXP101,Treatment,2026-02-01,Mobile,India,2.0,3,0,0.0
10071,EXP102,Treatment,2026-02-27,Mobile,USA,1.0,1,0,0.0
10072,EXP101,Control,2026-01-29,Desktop,UK,2.0,3,1,267.86
10073,EXP102,Control,2026-01-21,Mobile,UK,6.0,1,0,0.0
10074,EXP101,Treatment,2026-01-21,Mobile,India,4.0,1,1,236.37
10075,EXP102,Treatment,2026-02-09,Mobile,India,6.0,1,0,0.0
10076,EXP101,Treatment,2026-01-23,Tablet,India,4.0,2,0,0.0
10077,EXP102,Treatment,2026-02-25,Mobile,India,5.0,4,0,0.0
10078,EXP102,Control,2026-01-06,Mobile,Canada,4.0,2,0,0.0
10079,EXP102,Control,2026-01-22,Tablet,India,3.0,4,0,0.0
10080,EXP102,Control,2026-02-19,Desktop,India,6.0,4,0,0.0
10081,EXP102,Treatment,2026-02-07,Desktop,USA,1.0,1,0,0.0
10082,EXP102,Treatment,2026-02-06,Mobile,USA,5.0,3,0,0.0
10083,EXP101,Control,2026-02-14,Mobile,USA,3.0,1,1,965.98
10084,EXP102,Control,2026-02-20,Desktop,India,2.0,3,0,0.0
10085,EXP102,Control,2026-02-23,Tablet,India,6.0,4,1,1081.55
10086,EXP102,Control,2026-01-08,Mobile,India,7.0,1,0,0.0
10087,EXP101,Treatment,2026-02-10,Mobile,India,7.0,3,0,0.0
10088,EXP101,Treatment,2026-02-18,Mobile,India,1.0,2,0,0.0
10089,EXP101,Treatment,2026-02-04,Desktop,India,4.0,3,0,0.0
10090,EXP102,Control,2026-02-20,Mobile,India,1.0,1,0,0.0
10091,EXP101,Control,2026-01-11,Mobile,India,7.0,2,0,0.0
10092,EXP101,Treatment,2026-01-24,Mobile,India,2.0,3,0,0.0
10093,EXP102,Treatment,2026-02-18,Mobile,USA,5.0,3,1,870.44
10094,EXP102,Treatment,2026-01-21,Mobile,USA,5.0,3,0,0.0
10095,EXP101,Treatment,2026-02-20,Mobile,UK,6.0,3,0,0.0
10096,EXP102,Control,2026-01-02,Desktop,India,5.0,3,0,0.0
10097,EXP102,Treatment,2026-02-09,Mobile,India,6.0,2,0,0.0
10098,EXP102,Control,2026-01-19,Mobile,India,6.0,4,0,0.0
10099,EXP102,Control,2026-02-08,Mobile,USA,6.0,2,0,0.0
10100,EXP101,Control,2026-01-28,Mobile,USA,7.0,2,0,0.0
10101,EXP102,Control,2026-02-28,Mobile,India,7.0,2,0,0.0
10102,EXP101,Treatment,2026-01-17,Mobile,Canada,4.0,4,0,0.0
10103,EXP101,Control,2026-01-06,Mobile,India,3.0,1,0,0.0
10104,EXP101,Treatment,2026-01-19,Mobile,India,6.0,4,0,0.0
10105,EXP101,Treatment,2026-02-25,Mobile,USA,6.0,2,0,0.0
10106,EXP102,Control,2026-02-07,Tablet,UK,3.0,3,0,0.0
10107,EXP102,Control,2026-01-28,Mobile,USA,1.0,3,0,0.0
10108,EXP102,Treatment,2026-01-02,Desktop,UK,6.0,2,0,0.0
10109,EXP101,Control,2026-02-07,Mobile,India,4.0,3,0,0.0
10110,EXP101,Control,2026-02-24,Desktop,UK,5.0,2,0,0.0
10111,EXP101,Control,2026-02-06,Desktop,India,5.0,3,0,0.0
10112,EXP102,Control,2026-02-20,Mobile,UK,2.0,4,0,0.0
10113,EXP101,Treatment,2026-02-21,Mobile,India,2.0,1,0,0.0
10114,EXP102,Treatment,2026-01-04,Mobile,UK,5.0,1,0,0.0
10115,EXP102,Treatment,2026-01-22,Mobile,India,5.0,4,0,0.0
10116,EXP102,Treatment,2026-01-26,Tablet,USA,7.0,4,0,0.0
10117,EXP102,Treatment,2026-02-18,Desktop,India,4.0,2,0,0.0
10118,EXP101,Control,2026-02-12,Tablet,USA,3.0,2,0,0.0
10119,EXP102,Treatment,2026-02-05,Mobile,India,2.0,2,0,0.0
10120,EXP101,Treatment,2026-02-27,Desktop,India,7.0,3,0,0.0
10121,EXP102,Treatment,2026-01-13,Tablet,India,7.0,2,0,0.0
10122,EXP101,Treatment,2026-02-21,Mobile,India,3.0,4,0,0.0
10123,EXP101,Control,2026-02-27,Mobile,UK,7.0,1,0,0.0
10124,EXP102,Control,2026-02-01,Desktop,India,4.0,3,0,0.0
10125,EXP102,Control,2026-01-17,Mobile,Canada,5.0,2,0,0.0
10126,EXP102,Control,2026-02-10,Desktop,India,6.0,3,0,0.0
10127,EXP101,Treatment,2026-02-05,Mobile,India,3.0,3,0,0.0
10128,EXP102,Treatment,2026-02-24,Desktop,UK,5.0,2,0,0.0
10129,EXP102,Control,2026-03-01,Mobile,USA,5.0,3,0,0.0
10130,EXP101,Treatment,2026-02-15,Mobile,India,1.0,1,0,0.0
10131,EXP102,Control,2026-01-19,Mobile,USA,3.0,4,0,0.0
10132,EXP101,Control,2026-02-27,Desktop,USA,7.0,4,0,0.0
10133,EXP102,Control,2026-03-01,Desktop,India,6.0,1,0,0.0
10134,EXP101,Control,2026-02-04,Mobile,Canada,3.0,3,0,0.0
10135,EXP101,Treatment,2026-02-15,Mobile,Canada,7.0,2,0,0.0
10136,EXP102,Control,2026-02-09,Desktop,USA,5.0,3,0,0.0
